id,full_name,gender,date_of_birth,blood_group,phone,email,roll_no,abc_id,aadhaar_number,photo_url,tc_number,address,city,state,pincode,father_name,mother_name,parent_phone,guardian_name,annual_income,siblings,community,religion,caste,nationality,mother_tongue,stream,department,dept_id,branch,branch_full_name,jntuh_branch_code,admission_year,batch,current_year,section,current_semester,cgpa,sgpa_current,active_backlogs,admission_category,eamcet_hall_ticket,eamcet_rank,fee_category,annual_tuition_fee,hostel_fee,total_annual_fee,scholarship,scholarship_amount,bus_route,student_status
STU-00001,Ravi Patil,Male,2004-04-05,O+,9890779946,ravi.00001@student.aits.edu.in,22A81A050001,843469555623,XXXX-XXXX-9935,https://randomuser.me/api/portraits/men/2.jpg,AITS/TC/2022/7924,"H.No 4-56/2, Near Water Tank, Alwal",Hyderabad,Telangana,500013,Naveen Patil,Swapna Patil,9349817734,Naveen Patil,1000000,2,BC-B,Hindu,Beri Chetty,Indian,Tamil,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.57,8.71,0,Management,,,Day Scholar,95000,0,95000,Merit,10000,,Active
STU-00002,Anusha Murthy,Female,2003-02-03,A-,9507943839,anusha.00002@student.aits.edu.in,22A81A050002,491257417623,XXXX-XXXX-6635,https://randomuser.me/api/portraits/women/3.jpg,AITS/TC/2022/2654,"H.No 4-56/2, Near Water Tank, Alwal",Hyderabad,Telangana,500068,Raghav Murthy,Pooja Murthy,9506448196,Raghav Murthy,200000,1,SC,Hindu,Adi Andhra,Indian,Kannada,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,6.3,5.94,3,EAMCET,TS19116,7006,Hosteller,95000,55000,150000,SC/ST Post-Matric,45000,,Active
STU-00003,Himanshu Agarwal,Male,2004-06-12,A-,9324956459,himanshu.00003@student.aits.edu.in,22A81A050003,394936156580,XXXX-XXXX-2169,https://randomuser.me/api/portraits/men/4.jpg,AITS/TC/2022/5386,"Plot 7, Colony Road",Yadadri,Telangana,508115,Venkat Agarwal,Sravanthi Agarwal,9507437181,Venkat Agarwal,400000,3,BC-B,Hindu,Beri Chetty,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,8.35,5.96,0,Management,,,Day Scholar,95000,0,95000,,0,,Active
STU-00004,Geethanjali Tripathi,Female,2003-04-21,O+,9636045484,geethanjali.00004@student.aits.edu.in,22A81A050004,808302588517,XXXX-XXXX-8517,https://randomuser.me/api/portraits/women/5.jpg,AITS/TC/2022/7916,"H.No 7-23, AS Rao Nagar",Hyderabad,Telangana,500081,Raghav Tripathi,Vyshnavi Tripathi,9902099969,Raghav Tripathi,1500000,1,BC-B,Hindu,Agnikula Kshatriya,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.59,7.57,0,EAMCET,TS76784,65686,Hosteller,95000,55000,150000,Merit,10000,,Active
STU-00005,Sharath Joshi,Male,2002-09-09,B-,9694021782,sharath.00005@student.aits.edu.in,22A81A050005,847373620112,XXXX-XXXX-2876,https://randomuser.me/api/portraits/men/6.jpg,AITS/TC/2022/4258,"Door No 4-12, Near Temple",Rajahmundry,Andhra Pradesh,533101,Mohan Joshi,Pooja Joshi,9415143362,Mohan Joshi,600000,0,OC,Hindu,Komati,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,9.2,6.34,0,Lateral Entry,TSLAT3927,4258,Hosteller,95000,55000,150000,,0,,Active
STU-00006,Urvashi Gupta,Female,2005-10-11,A+,9624636385,urvashi.00006@student.aits.edu.in,22A81A050006,220342736258,XXXX-XXXX-6947,https://randomuser.me/api/portraits/women/7.jpg,AITS/TC/2022/4470,"H.No 7-23, AS Rao Nagar",Hyderabad,Telangana,500082,Rohith Gupta,Bhavana Gupta,9885879795,Rohith Gupta,800000,2,ST,Hindu,Lambada,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.92,7.2,0,NRI,,,Hosteller,95000,55000,150000,SC/ST Post-Matric,45000,,Active
STU-00007,Aditya Krishnan,Male,2002-11-21,A+,9500957212,aditya.00007@student.aits.edu.in,22A81A050007,596144210356,XXXX-XXXX-2982,https://randomuser.me/api/portraits/men/8.jpg,AITS/TC/2022/4510,"Flat 205, Ramdev Residency, Uppal",Hyderabad,Telangana,500012,Zaheer Krishnan,Farida Krishnan,9347083812,Zaheer Krishnan,1500000,1,OC,Hindu,Komati,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.57,7.1,0,EAMCET,TS18834,5117,Hosteller,95000,55000,150000,Merit,10000,,Active
STU-00008,Waseem Tripathi,Male,2002-04-26,O+,9607850824,waseem.00008@student.aits.edu.in,22A81A050008,550144771997,XXXX-XXXX-4119,https://randomuser.me/api/portraits/men/9.jpg,AITS/TC/2022/3296,"Flat 501, Sai Krupa, LB Nagar",Hyderabad,Telangana,500055,Chaitanya Tripathi,Sreedevi Tripathi,9601463916,Chaitanya Tripathi,150000,2,OBC,Muslim,Shaikh,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,7.03,5.62,0,Management,,,Day Scholar,95000,0,95000,,0,,Active
STU-00009,Vijay Malhotra,Male,2004-02-15,B-,9967607278,vijay.00009@student.aits.edu.in,22A81A050009,209737811619,XXXX-XXXX-1828,https://randomuser.me/api/portraits/men/10.jpg,AITS/TC/2022/5673,"H.No 2-45, Main Road",Eluru,Andhra Pradesh,534001,Naveen Malhotra,Himaja Malhotra,9909134796,Naveen Malhotra,300000,0,BC-A,Hindu,Yadav,Indian,Hindi,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,8.39,7.41,1,EAMCET,TS31579,50672,Hosteller,95000,55000,150000,,0,,Active
STU-00010,Uday Natarajan,Male,2004-04-10,O+,9333754555,uday.00010@student.aits.edu.in,22A81A050010,164290117190,XXXX-XXXX-9883,https://randomuser.me/api/portraits/men/11.jpg,AITS/TC/2022/5033,"H.No 2-45, Main Road",Secunderabad,Telangana,500003,Yashwanth Natarajan,Ashwini Natarajan,9639931481,Yashwanth Natarajan,1000000,0,ST,Hindu,Koya,Indian,Telugu,B.Tech,CSE,dept-cse,CSE,Computer Science & Engineering,A05,2022,2026,4,A,7,6.94,6.75,0,EAMCET,TS87992,9907,Hosteller,95000,55000,150000,SC/ST Post-Matric,45000,,Active
