id,section_id,dept_code,batch_year,section,faculty_id,faculty_name,academic_year,is_active
mnt-0001,sec-cse-2022-a,CSE,2022,A,STF-0026,Praveen Kumar Varma,2022-2026,True
mnt-0002,sec-cse-2022-a,CSE,2022,A,STF-0009,Tirupathi Rao Subramaniam,2022-2026,True
mnt-0003,sec-cse-2022-b,CSE,2022,B,STF-0006,Venkateswara Rao Kaur,2022-2026,True
mnt-0004,sec-cse-2022-b,CSE,2022,B,STF-0029,Chandra Sekhar Balasubramaniam,2022-2026,True
mnt-0005,sec-cse-2023-a,CSE,2023,A,STF-0014,Haritha Reddy,2023-2027,True
mnt-0006,sec-cse-2023-a,CSE,2023,A,STF-0013,Sunitha Ganesh,2023-2027,True
mnt-0007,sec-cse-2023-b,CSE,2023,B,STF-0013,Sunitha Ganesh,2023-2027,True
mnt-0008,sec-cse-2023-b,CSE,2023,B,STF-0010,Naga Raju Yadav,2023-2027,True
mnt-0009,sec-cse-2024-a,CSE,2024,A,STF-0029,Chandra Sekhar Balasubramaniam,2024-2028,True
mnt-0010,sec-cse-2024-a,CSE,2024,A,STF-0009,Tirupathi Rao Subramaniam,2024-2028,True
mnt-0011,sec-cse-2024-b,CSE,2024,B,STF-0027,Mohan Rao Hegde,2024-2028,True
mnt-0012,sec-cse-2024-b,CSE,2024,B,STF-0029,Chandra Sekhar Balasubramaniam,2024-2028,True
mnt-0013,sec-cse-2025-a,CSE,2025,A,STF-0023,Sudhakar Pillai,2025-2029,True
mnt-0014,sec-cse-2025-a,CSE,2025,A,STF-0008,Tirupathi Rao Natarajan,2025-2029,True
mnt-0015,sec-cse-2025-b,CSE,2025,B,STF-0024,Hari Babu Ganesh,2025-2029,True
mnt-0016,sec-cse-2025-b,CSE,2025,B,STF-0019,Hema Latha Kapoor,2025-2029,True
mnt-0017,sec-it-2022-a,IT,2022,A,STF-0035,Tarun Kumar Reddy,2022-2026,True
mnt-0018,sec-it-2022-a,IT,2022,A,STF-0034,Jayasree Menon,2022-2026,True
mnt-0019,sec-it-2022-b,IT,2022,B,STF-0042,Aparna Krishnan,2022-2026,True
mnt-0020,sec-it-2022-b,IT,2022,B,STF-0058,Vamsi Krishna Venkataramana,2022-2026,True
mnt-0021,sec-it-2023-a,IT,2023,A,STF-0060,Kamala Devi Raghavan,2023-2027,True
mnt-0022,sec-it-2023-a,IT,2023,A,STF-0095,Kalyan Kumar Ramesh,2023-2027,True
mnt-0023,sec-it-2023-b,IT,2023,B,STF-0034,Jayasree Menon,2023-2027,True
mnt-0024,sec-it-2023-b,IT,2023,B,STF-0056,Sravanthi Prasad,2023-2027,True
mnt-0025,sec-it-2024-a,IT,2024,A,STF-0100,Mahesh Babu Joshi,2024-2028,True
mnt-0026,sec-it-2024-a,IT,2024,A,STF-0084,Ashok Kumar Mishra,2024-2028,True
mnt-0027,sec-it-2024-b,IT,2024,B,STF-0059,Hemanth Kumar Yadav,2024-2028,True
mnt-0028,sec-it-2024-b,IT,2024,B,STF-0088,Siva Kumar Reddy,2024-2028,True
mnt-0029,sec-it-2025-a,IT,2025,A,STF-0066,Vani Patel,2025-2029,True
mnt-0030,sec-it-2025-a,IT,2025,A,STF-0031,Vijay Kumar Mehta,2025-2029,True
mnt-0031,sec-it-2025-b,IT,2025,B,STF-0051,Ranjith Kumar Kapoor,2025-2029,True
mnt-0032,sec-it-2025-b,IT,2025,B,STF-0085,Pavani Desai,2025-2029,True
mnt-0033,sec-csm-2022-a,CSM,2022,A,STF-0074,Krishna Murthy Yadav,2022-2026,True
mnt-0034,sec-csm-2022-a,CSM,2022,A,STF-0066,Vani Patel,2022-2026,True
mnt-0035,sec-csm-2022-b,CSM,2022,B,STF-0050,Naresh Kumar Malhotra,2022-2026,True
mnt-0036,sec-csm-2022-b,CSM,2022,B,STF-0058,Vamsi Krishna Venkataramana,2022-2026,True
mnt-0037,sec-csm-2023-a,CSM,2023,A,STF-0074,Krishna Murthy Yadav,2023-2027,True
mnt-0038,sec-csm-2023-a,CSM,2023,A,STF-0044,Savitha Hegde,2023-2027,True
mnt-0039,sec-csm-2023-b,CSM,2023,B,STF-0042,Aparna Krishnan,2023-2027,True
mnt-0040,sec-csm-2023-b,CSM,2023,B,STF-0079,Praveen Kumar Krishnan,2023-2027,True
mnt-0041,sec-csm-2024-a,CSM,2024,A,STF-0043,Ashwini Kumar,2024-2028,True
mnt-0042,sec-csm-2024-a,CSM,2024,A,STF-0076,Vamsi Krishna Kaur,2024-2028,True
mnt-0043,sec-csm-2024-b,CSM,2024,B,STF-0075,Sravanthi Iyer,2024-2028,True
mnt-0044,sec-csm-2024-b,CSM,2024,B,STF-0064,Harsha Vardhan Rao,2024-2028,True
mnt-0045,sec-csm-2025-a,CSM,2025,A,STF-0036,Praveen Kumar Babu,2025-2029,True
mnt-0046,sec-csm-2025-a,CSM,2025,A,STF-0089,Rekha Natarajan,2025-2029,True
mnt-0047,sec-csm-2025-b,CSM,2025,B,STF-0099,Hemanth Kumar Raghavan,2025-2029,True
mnt-0048,sec-csm-2025-b,CSM,2025,B,STF-0046,Tejasvi Menon,2025-2029,True
mnt-0049,sec-csd-2022-a,CSD,2022,A,STF-0079,Praveen Kumar Krishnan,2022-2026,True
